daily_discussion_date,vader_pos,vader_neu,vader_neg,vader_compound,socialsent_compound,socialsent_neu,socialsent_pos,socialsent_neg,None,Long-term Holder,Bitcoin Skeptic,Bearish,Bullish,num_comments,num_child,num_word
2017-12-31 23,0.0833636363636,0.853045454545,0.0635,0.0238545454545,0.0309590909091,0.37,0.3315,0.2985,0.681818181818,0.0909090909091,0.0,0.0,0.227272727273,22,1.68181818182,183.045454545
2018-01-01 00,0.2039,0.7428,0.05325,0.12902,0.098575,0.303,0.4136,0.2835,0.5,0.2,0.0,0.0,0.3,20,0.75,82.15
2018-01-01 01,0.204,0.763095238095,0.0329523809524,0.210076190476,0.36369047619,0.32519047619,0.480095238095,0.19480952381,0.52380952381,0.47619047619,0.0,0.0,0.0,21,1.0,66.8571428571
2018-01-01 02,0.147555555556,0.821666666667,0.0307777777778,0.3487,0.177522222222,0.363,0.374333333333,0.262777777778,0.666666666667,0.111111111111,0.0,0.0,0.222222222222,9,0.777777777778,182.0
2018-01-01 03,0.104625,0.86125,0.03425,0.2064,0.2377625,0.30475,0.377625,0.317875,0.875,0.0,0.0,0.0,0.125,8,0.75,159.25
2018-01-01 04,0.140454545455,0.791818181818,0.0678181818182,0.103327272727,0.103181818182,0.407545454545,0.337181818182,0.255272727273,0.545454545455,0.363636363636,0.0,0.0909090909091,0.0,11,0.727272727273,282.727272727
2018-01-01 05,0.16175,0.80325,0.035125,0.1833875,0.2033125,0.18725,0.5175,0.295125,1.0,0.0,0.0,0.0,0.0,8,0.25,165.125
2018-01-01 06,0.117,0.8236,0.0594666666667,0.129393333333,0.100993333333,0.3518,0.315533333333,0.332533333333,0.6,0.266666666667,0.0666666666667,0.0666666666667,0.0,15,1.33333333333,404.266666667
2018-01-01 07,0.150363636364,0.706909090909,0.142727272727,0.199181818182,0.125481818182,0.417181818182,0.248727272727,0.334181818182,0.818181818182,0.0909090909091,0.0,0.0909090909091,0.0,11,0.636363636364,88.2727272727
2018-01-01 08,0.147428571429,0.688,0.164714285714,-0.0218285714286,-0.0819142857143,0.343142857143,0.334142857143,0.322428571429,0.571428571429,0.285714285714,0.0,0.142857142857,0.0,7,1.42857142857,469.285714286
