daily_discussion_date,vader_pos,vader_neu,vader_neg,vader_compound,socialsent_compound,socialsent_neu,socialsent_pos,socialsent_neg,None,Long-term Holder,Bitcoin Skeptic,Bearish,Bullish,num_comments,num_child,num_word
2017-09-01 00,0.104142857143,0.842285714286,0.0535714285714,0.0900428571429,0.181042857143,0.530142857143,0.350857142857,0.118857142857,1.0,0.0,0.0,0.0,0.0,7,0.714285714286,90.0
2017-09-01 01,0.0473333333333,0.883166666667,0.0695,0.0158083333333,0.099075,0.35875,0.318583333333,0.322666666667,0.833333333333,0.0833333333333,0.0833333333333,0.0,0.0,12,0.666666666667,83.75
2017-09-01 02,0.0811666666667,0.8685,0.0503333333333,0.0498666666667,0.1553,0.468,0.384333333333,0.147666666667,0.333333333333,0.5,0.0,0.0,0.166666666667,6,0.833333333333,47.6666666667
2017-09-01 03,0.0614,0.8759,0.0626,0.0337,0.25513,0.4197,0.3305,0.25,0.8,0.2,0.0,0.0,0.0,10,1.1,165.7
2017-09-01 04,0.119967741935,0.848290322581,0.0316774193548,0.265722580645,0.153187096774,0.376129032258,0.398290322581,0.225451612903,0.774193548387,0.0967741935484,0.0,0.0322580645161,0.0967741935484,31,1.41935483871,201.225806452
2017-09-01 05,0.102317073171,0.846756097561,0.0509024390244,0.165465853659,0.132446341463,0.379780487805,0.347487804878,0.272829268293,0.682926829268,0.121951219512,0.0487804878049,0.0487804878049,0.0975609756098,41,0.926829268293,193.268292683
2017-09-01 06,0.0763703703704,0.85637037037,0.0672962962963,0.0409148148148,-0.189433333333,0.383296296296,0.258592592593,0.357925925926,0.740740740741,0.148148148148,0.0,0.037037037037,0.0740740740741,27,0.888888888889,159.814814815
2017-09-01 07,0.105026315789,0.805210526316,0.0898421052632,-0.0176236842105,0.0476894736842,0.403631578947,0.338026315789,0.258368421053,0.631578947368,0.263157894737,0.0,0.0526315789474,0.0526315789474,38,0.684210526316,151.289473684
2017-09-01 08,0.144977272727,0.773477272727,0.0815681818182,0.0922931818182,0.1376375,0.378704545455,0.342136363636,0.279159090909,0.704545454545,0.238636363636,0.0,0.0113636363636,0.0454545454545,88,1.02272727273,106.363636364
2017-09-01 09,0.141023076923,0.807846153846,0.0511461538462,0.171794615385,0.0885669230769,0.396207692308,0.326453846154,0.277384615385,0.653846153846,0.269230769231,0.0,0.0153846153846,0.0615384615385,130,0.923076923077,132.9
2017-09-01 10,0.119058823529,0.825666666667,0.0552352941176,0.131915686275,0.077518627451,0.398245098039,0.334676470588,0.267088235294,0.558823529412,0.323529411765,0.0,0.0196078431373,0.0980392156863,102,0.941176470588,196.843137255
2017-09-01 11,0.182014925373,0.762343283582,0.0555970149254,0.236398507463,0.188705970149,0.362388059701,0.380432835821,0.257134328358,0.537313432836,0.358208955224,0.0,0.0149253731343,0.089552238806,67,0.776119402985,185.104477612
2017-09-01 12,0.136131147541,0.790524590164,0.0733278688525,0.0938770491803,-0.00364754098361,0.410983606557,0.321540983607,0.267327868852,0.704918032787,0.27868852459,0.0,0.0,0.016393442623,61,0.950819672131,157.803278689
2017-09-01 13,0.0957441860465,0.856,0.0482558139535,0.14563255814,0.00544418604651,0.391023255814,0.303604651163,0.305395348837,0.651162790698,0.232558139535,0.0,0.0232558139535,0.093023255814,43,0.790697674419,183.069767442
2017-09-01 14,0.160714285714,0.790821428571,0.0484642857143,0.182621428571,0.0652285714286,0.385821428571,0.347785714286,0.266321428571,0.678571428571,0.214285714286,0.0,0.0714285714286,0.0357142857143,28,0.607142857143,169.5
2017-09-01 15,0.13447826087,0.822826086957,0.0426956521739,0.217330434783,-0.066052173913,0.330217391304,0.319304347826,0.350434782609,0.652173913043,0.173913043478,0.0,0.0434782608696,0.130434782609,23,0.652173913043,150.652173913
